2019-03-23 16:43:56,250 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:43:56,250 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 16:44:48,628 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:44:48,628 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-23 16:44:48,631 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:44:48,631 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 16:44:57,111 [Worker-43] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/carlos/workspace/PruebaGSS/PruebaGSS
2019-03-23 16:44:57,111 [Worker-43] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2019-03-23 16:45:00,418 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:45:00,418 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-23 16:45:00,422 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:45:00,422 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 16:46:02,803 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 16:46:02,804 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-23 16:46:02,806 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
